SUNDER,Sunderland Wheelchair Service,Independant Living Centre Claymere Road Leechmere Industrial Estate  Sunderland Tyne & Wear,SR2 9TS,0191 520 5555,0191 5662182,City of Sunderland Social Services,City of Sunderland Social Services,
GATESH,Gateshead Wheelchair Services,Queens Park Queensway North Team Valley Trading Estate  Gateshead Tyne and Wear,NE11 0QD,0845 111 1155,0191 4434413,South Tyneside Foundation NHS Trust,Gateshead CCG,
NEWCASTLE,Newcastle Disablement Services Centre,Freeman Road High Heaton   Newcastle Upon Tyne Tyne and Wear,NE7 7AF,0191 223 1184,0191 2231251,Newcastle Upon Tyne Hospitals NHS Foundation Trust,Newcastle Upon Tyne Hospitals NHS Foundation Trust,
STYNE,Wheelchair Services,South Tyneside District Hospital Harton Lane   South Shields Tyne and Wear,NE34 0PL,0191 404 1000,0191 456 2980,South Tyneside NHS Foundation Trust,South Tyneside NHS Foundation Trust,
NTYNE,North Tyneside Wheelchair Service,Victoria Therapy Centre Hawkeys Lane   North Shields Tyneside,NE29 0SF,0191 282 8090,0191 219 6619,Northumbria Healthcare NHS Foundation Trust,Northumbria Healthcare NHS Foundation Trust,wheelchair.service@northtyneside-pct.nhs.uk
SWARW,Warwickshire Wheelchair & Special Seating Service,Leamington Hospital Heathcote Lane Heathcote  Warwick Warwickshire,CV34 6SR,01926 317723,01926 317710,"S Warwickshire CCG, Coventry and Rugby CCG, N Warwickshire CCG",NHS Warwickshire,wheelchairs@swft.nhs.uk
NWARW,North Warwickshire & Rugby Wheelchair Service,Riversley Park Clinic Cotton Road   Nuneaton Warwickshire,CV11 5TY,02476 321483,01203 320526,North Warwickshire NHS Trust,North Warwickshire NHS Trust,
COVE,Coventry Wheelchair Service,Newfield House KingField Road   Coventry West Midlands,CV1 4NZ,02476 237 055,02476 237 052,Coventry and Warwickshire Partnership Trust,Coventry and Warwickshire Partnership Trust,
SANDW,Sandwell Wheelchair Service,Independent Living Centre 100 Oldbury Road   Smethwick West Midlands,B66 1JE,0121 565 7950,0121 565 7975,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell and West Birmingham Hospitals NHS Trust,
SOLIH,Solihull Wheelchair Service,Unit 1 and 6 Century Park Starley Way Bickenhill  Solihull West Midlands,B37 7HY,0121 3290900,,Solihull Metropolitan Borough Council,Solihull Metropolitan Borough Council,
DUDLEY,Dudley Wheelchair Service,Corbett Outpatient Centre Vicarage Rd   Stourbridge West Midlands,DY8 4JB,01384 244793,01384 244755,The Dudley Group of Hospitals NHS Trust,The Dudley Group of Hospitals NHS Trust,wheelchair.service@dgoh.nhs.uk
WALS,Walsall ICES Community Equipment Stores,Units 5  Electrium Point Ashmore Lake Way  Willenhall West Midlands,WS12 4HD,01922 604960,01922 655707,Walsall Healthcare NHS,Walsall Healthcare NHS,
WOLV,Wolverhampton Wheelchair Service Maltings Mobility Centre,The Maltings Herbert Street   Wolverhampton West Midlands,WV1 1NQ,01902 444042,01902 444038,Wolverhampton City Primary Care Trust,Wolverhampton City Primary Care Trust,
BIRM,Birmingham  Wheelchair Service,West Midlands Rehab Centre 91 Oak Tree Lane Selly Oak  Birmingham West Midlands,B29 6JA,0121 466 3000,0121 471 3690,Birmingham Community Healthcare NHS Trust,,Birmingham.Wheelchairs@NHS.net
AIRE,Airedale Mobility Services,Airedale General Hospital Skipton Road Steeton  Near Keighley West Yorkshire,BD20 6TD,01535 292228,01535 294684,Airedale NHS Foundation Trust,Airedale NHS Foundation Trust,
BRAD,Bradford Wheelchair Assessment Centre,Unit 1 Four Lanes Business Park Cemetary Road   Bradford West Yorkshire,BD8 9RY,01274 322555,01274 322515,Bradford Teaching Hospitals NHS Trust,Bradford Teaching Hospitals NHS Trust,
CALD,"Calderdale, Greater Huddersfield and North Kirklees Posture and Mobility Services",Unit G7 Navigation Close Lowfields Business Park Elland Halifax West Yorkshire,HX5 9HB,01422 312729,01422 314640,Opcare Ltd,Calderdale North Kirklees and Greater Huddersfield,HuddersfieldWheelchairs@opcare.co.uk
LEEDS,Leeds Wheelchair Centre,Seacroft Hospital York Road   Leeds West Yorkshire,LS14 6UH,0113 2063855,0113 2063857,The Leeds Teaching Hospital NHS Trust,Leeds West CCG,wheelchairs.cah@leedsth.nhs.uk
WAKE,Wakefield Wheelchair Services,Unit 10   Turner Way Trinity Business Park   Wakefield West Yorkshire,WF2 8EF,01924 327133,01924 328152,Wakefield Metropolitan District Council,Wakefield Metropolitan District Council,
WILT,Wiltshire Wheelchair Service and Specialist Service,Melksham Community Hospital Spa Road Melksham Wiltshire,SN12 7NA,01225 899 130,01225 701696,Great Western Hospitals NHS Foundation Trust,Wiltshire CCG,Joanne.lawton@gwh.nhs.uk
SWIN,Swindon Wheelchair and Special Seating Service,Unit 12 Birch Kembrey Park   Swindon Wiltshire,SN2 8UU,0303 333 1460 option 2,01793 422821,SEQQL,SEQQL,
WORCS,Worcestershire Wheelchair Service,Crown Lane    Wychbold Worcestershire,WR9 0BX,01527 869107,01527 869102,Worcestershire Health and Care NHS Trust,Worcestershire Health and Care NHS Trust,gcooper@worcestershire.gov.uk
WIRRAL,Wirral Wheelchair Service,Hind St Birkenhead   Wirral Merseyside,CH41 5DA,0151 6047261,0151 6526799,Wirral Community NHS Trust,Wirral CCG,
GUILD,Guildford Wheelchair Service,The Jarvis Centre Stoughton Road   Guildford Surrey,GU1 1LJ,,,Virgin Care (Community),Guildford and Waverley CCG,wheelchair.services@virgincare.co.uk
